9,1,2,4,6,11,3,8,10,4,4,5,10,9,10,7,2,10,9,5,11,6,10,11,4
1,10,4,2,3,9,10,7,2,8,1,6,3,4,11,6,6,5,10,3,6,3,2,1,1
4,5,6,9,10,7,3,3,6,11,2,7,10,6,3,4,6,3,2,8,2,6,10,6,11
4,3,3,2,4,9,5,9,5,4,11,9,9,7,3,9,8,10,5,11,9,2,5,9,10
2,2,9,3,1,6,10,3,5,5,6,8,6,10,7,10,5,9,3,10,6,3,1,1,10
8,3,2,11,11,4,4,5,3,2,3,11,8,1,1,11,4,7,3,8,7,6,8,11,6
6,2,4,4,1,5,9,6,6,5,3,9,1,3,7,11,9,6,5,10,8,10,7,10,6
10,10,10,6,11,10,1,5,7,1,11,10,1,4,2,11,4,6,3,2,2,10,8,10,5
11,10,1,9,4,2,1,8,3,5,2,1,5,11,6,2,7,3,7,8,10,8,8,3,10
8,5,2,8,1,3,9,8,6,1,2,1,11,9,9,3,4,5,8,3,8,4,7,7,3
4,5,4,8,8,4,11,10,9,11,9,6,9,1,11,9,5,6,5,4,1,2,1,4,5
7,10,8,7,2,10,10,6,1,11,6,2,4,6,4,11,5,3,7,4,7,7,8,9,5
2,8,4,10,10,3,3,2,1,1,3,6,9,5,9,2,9,4,6,3,10,2,2,3,11
6,8,4,6,10,4,4,6,1,11,9,2,10,11,4,4,8,9,3,11,2,5,5,1,7
2,3,8,10,7,3,2,11,8,7,3,2,2,11,1,1,9,9,1,3,8,8,5,2,5
3,4,1,5,2,8,4,3,10,5,10,8,8,5,5,5,10,8,5,6,7,11,7,8,8
6,9,8,9,6,7,8,3,6,7,2,10,7,8,8,1,10,11,10,2,3,9,1,5,11
4,5,11,3,9,9,3,1,6,10,6,10,10,8,3,10,7,9,11,6,8,8,1,8,10
10,6,5,5,6,2,11,8,8,8,4,10,5,4,7,6,9,7,10,10,2,1,8,7,7
3,7,8,9,9,7,9,10,8,2,1,2,9,6,2,8,10,5,2,8,4,10,6,4,10
11,6,7,4,3,10,3,11,6,8,5,6,6,9,1,2,1,8,6,10,9,6,2,10,11
4,11,4,5,5,1,9,3,11,1,2,7,4,6,9,5,9,4,8,11,3,9,5,7,5
11,10,3,7,6,11,5,6,6,6,9,11,6,7,11,3,8,8,1,7,3,7,8,6,8
9,11,1,5,8,5,3,7,2,9,8,4,9,10,1,9,11,4,8,6,5,2,2,6,3
5,8,1,6,2,8,1,G,2,9,5,11,10,10,6,8,9,2,4,11,4,3,5,11,7
