0,0
0,9
0,13
0,22
10,22
10,23
14,23
16,23
21,23
21,16
21,7
21,10
21,12
21,8
21,19
10,19
14,19
14,22
19,22
19,16
19,6
19,15
19,23
23,23
23,17
23,21
23,19
23,13
23,3
23,8
23,10
23,18
15,18
15,23
15,15
15,20
22,20
22,23
22,17
22,9
22,15
22,18
22,19
22,12
22,6
22,11
22,22
22,14
22,3
22,10
22,1
12,1
12,9
12,10
12,13
12,18
12,24
23,24
20,24
20,13
20,22
20,20
20,11
20,17
20,9
20,1
20,7
20,18
20,12
20,6
23,6
23,9
23,0
14,0
14,2
14,10
14,13
14,24
19,24
19,14
21,14
21,5
21,6
21,15
21,20
24,20
24,24
24,17
24,19
24,8
24,10
24,15
24,23
24,12
24,2
24,3
24,9
24,18
24,14
18,14
18,21
19,21
19,11
19,13
19,19
11,19
11,23
11,14
11,18
18,18
18,8
18,16
18,7
18,15
18,9
18,17
18,24
11,24
16,24
16,13
16,21
16,12
16,19
18,19
8,19
8,11
8,12
8,17
8,20
18,20
16,20
19,20
23,20
23,15
14,15
14,16
23,16
23,5
18,5
20,5
10,5
10,9
10,20
10,21
12,21
12,23
12,20
2,20
2,22
2,12
12,12
12,3
2,3
11,3
11,10
11,16
11,21
4,21
4,24
4,14
4,7
4,10
4,16
9,16
9,20
17,20
17,12
17,22
17,23
17,15
17,5
17,14
17,17
17,8
17,2
17,13
17,21
9,21
13,21
13,16
13,24
13,17
13,8
13,9
13,20
13,22
8,22
8,14
14,14
15,14
15,19
15,13
15,8
5,8
5,11
5,22
5,14
5,15
16,15
16,16
16,6
24,6
24,7
State Explored: 210
